Run,Center_ID,Group,BioProject,Method,library_strategy,library_source,instrument,LibraryLayout,total_reads,percent_aligned,coverage,breadth,sample_accession,experiment_desc,collection_date,isolation_source,release_date,Sufficient_cov
SRR11542243,UM_Malaysia,University Malaya,PRJNA616147,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,898380,91.41,2968.623549476641,0.9892652911079156,SRS6477428,SARS-CoV-2/190300/human/2020/Malaysia _EPI_ISL_417920,22-Mar-2020,Nasopharyngeal/throat swab,1587408050.2278697,True
SRR11542244,UM_Malaysia,University Malaya,PRJNA616147,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,733611,19.18,436.0013710998896,0.7906230144132695,SRS6477427,SARS-CoV-2/186197/human/2020/Malaysia_EPI_ISL_417919,14-Mar-2020,Nasopharyngeal/throat swab,1587408049.407877,False
SRR11524818,NICD_SouthAfrica,National Institute for Communicable Diseases,PRJNA624358,RNA-seq,WGS,GENOMIC,Illumina MiSeq,PAIRED,38800,0.01,0.034812560612647564,0.034812560612647564,SRS6462475,WGS of SARS-CoV-2 R03006_2020_2,2020-03-07,Combined nasopharyngeal and oropharyngeal swab,1587408167.0268364,False
SRR11514749,UM_Malaysia,University Malaya,PRJNA616147,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,1028510,94.68,3470.6109420459484,0.9977259806708356,SRS6395996,SARS-CoV-2/188407/human/2020/Malaysia_EPI_ISL_417918,18-Mar-2020,Nasopharyngeal/throat swab,1587408057.6078045,True
SRR11514750,UM_Malaysia,University Malaya,PRJNA616147,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina iSeq 100,PAIRED,947580,95.87,3274.1782764271143,0.9973915660636056,SRS6395995,SARS-CoV-2/189332/human/2020/Malaysia_EPI_ISL_417917,20-Mar-2020,Nasopharyngeal/throat swab,1587408057.411806,True
SRR11513776,Cambodge_Cambodia,Cambodge Cambodia,PRJNA623895,RNA-seq,RNA-Seq,VIRAL RNA,Illumina iSeq 100,PAIRED,3861065,0.08,24.368658663010397,0.9989967561783101,SRS6452975,Metagenomics of Severe acute respiratory syndrome coronavirus 2,27-Feb-2020,respiratory nasopharyngeal sample,1586805544.0775764,False
SRR11513114,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,SINGLE,15525,12.9,8.41551014948333,0.04832291074474133,SRS6452814,PCR Tiled  Amplification of SARS-CoV-2,2020-03-29,human,1586805545.0215685,False
SRR11513115,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,331356,99.35,2711.802561615892,0.9965889710062537,SRS6452813,PCR Tiled  Amplification of SARS-CoV-2,2020-03-19,human,1586805554.8174882,True
SRR11513116,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,416976,99.08,3251.6289335518177,0.9973246831421596,SRS6452812,PCR Tiled  Amplification of SARS-CoV-2,2020-03-17,human,1586805567.4093847,True
SRR11513117,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,361364,99.21,2872.199979935124,0.9979935123566196,SRS6452811,PCR Tiled  Amplification of SARS-CoV-2,2020-03-18,human,1586805575.2613204,True
SRR11513118,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,SINGLE,692047,99.85,3239.2649232518474,0.992341905494432,SRS6452810,PCR Tiled  Amplification of SARS-CoV-2,2020-03-29,human,1586805574.8533237,True
SRR11508492,NIH_Peru,Peruvian National Institute of Health,PRJNA623683,RNA-seq,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,2359909,0.55,54.41233321071464,0.9978597465137278,SRS6448834,Peru_hCov,10-Mar-2020,Oro-pharyngeal swab,1586805675.5604982,True
SRR11491744,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,783550,99.24,4371.294385178745,0.9978263050530048,SRS6436389,PCR Tiled Amplification of SARS-CoV-2,2020-03-20,human,1587408072.4596732,True
SRR11491745,PublicHealth_UT,Utah Public Health Laboratory,PRJNA614995,PCR_ARCTIC,AMPLICON,VIRAL RNA,Illumina MiSeq,PAIRED,796287,99.03,4536.234090225061,0.9982610440424038,SRS6436388,PCR Tiled Amplification of SARS-CoV-2,2020-03-20,human,1587408071.6396804,True
