	gene	name	scaffold	direction	translated	start	end	location	stop
0	5'UTR	5'UTR	NC_045512.2	1	False	1	265	[0:265](+)	266
1	orf1ab	orf1ab	NC_045512.2	1	True	266	21555	join{[265:13468](+), [13467:21555](+)}	21556
2	YP_009725297.1	leader protein	NC_045512.2	1	True	266	805	[265:805](+)	806
3	YP_009725298.1	nsp2	NC_045512.2	1	True	806	2719	[805:2719](+)	2720
4	YP_009725299.1	nsp3	NC_045512.2	1	True	2720	8554	[2719:8554](+)	8555
5	YP_009725300.1	nsp4	NC_045512.2	1	True	8555	10054	[8554:10054](+)	10055
6	YP_009725301.1	3C-like proteinase	NC_045512.2	1	True	10055	10972	[10054:10972](+)	10973
7	YP_009725302.1	nsp6	NC_045512.2	1	True	10973	11842	[10972:11842](+)	11843
8	YP_009725303.1	nsp7	NC_045512.2	1	True	11843	12091	[11842:12091](+)	12092
9	YP_009725304.1	nsp8	NC_045512.2	1	True	12092	12685	[12091:12685](+)	12686
10	YP_009725305.1	nsp9	NC_045512.2	1	True	12686	13024	[12685:13024](+)	13025
11	YP_009725306.1	nsp10	NC_045512.2	1	True	13025	13441	[13024:13441](+)	13442
12	YP_009725307.1	RdRP	NC_045512.2	1	True	13442	16236	join{[13441:13468](+), [13467:16236](+)}	16237
13	YP_009725308.1	helicase	NC_045512.2	1	True	16237	18039	[16236:18039](+)	18040
14	YP_009725309.1	3'-to-5' exonuclease	NC_045512.2	1	True	18040	19620	[18039:19620](+)	19621
15	YP_009725310.1	endoRNAse	NC_045512.2	1	True	19621	20658	[19620:20658](+)	20659
16	YP_009725311.1	2'-O-ribose methyltransferase	NC_045512.2	1	True	20659	21552	[20658:21552](+)	21553
17	orf1a	orf1a	NC_045512.2	1	True	266	13483	[265:13483](+)	13484
18	YP_009725312.1	nsp11	NC_045512.2	1	True	13442	13480	[13441:13480](+)	13481
19	stem_loop	stem_loop	NC_045512.2	1	False	13476	13503	[13475:13503](+)	13504
20	stem_loop	stem_loop	NC_045512.2	1	False	13488	13542	[13487:13542](+)	13543
21	S	S	NC_045512.2	1	True	21563	25384	[21562:25384](+)	25385
22	ORF3a	ORF3a	NC_045512.2	1	True	25393	26220	[25392:26220](+)	26221
23	E	E	NC_045512.2	1	True	26245	26472	[26244:26472](+)	26473
24	M	M	NC_045512.2	1	True	26523	27191	[26522:27191](+)	27192
25	ORF6	ORF6	NC_045512.2	1	True	27202	27387	[27201:27387](+)	27388
26	ORF7a	ORF7a	NC_045512.2	1	True	27394	27759	[27393:27759](+)	27760
27	ORF7b	ORF7b	NC_045512.2	1	True	27756	27887	[27755:27887](+)	27888
28	ORF8	ORF8	NC_045512.2	1	True	27894	28259	[27893:28259](+)	28260
29	N	N	NC_045512.2	1	True	28274	29533	[28273:29533](+)	29534
30	ORF10	ORF10	NC_045512.2	1	True	29558	29674	[29557:29674](+)	29675
31	stem_loop	stem_loop	NC_045512.2	1	False	29609	29644	[29608:29644](+)	29645
32	stem_loop	stem_loop	NC_045512.2	1	False	29629	29657	[29628:29657](+)	29658
33	3'UTR	3'UTR	NC_045512.2	1	False	29675	29903	[29674:29903](+)	29904
34	stem_loop	stem_loop	NC_045512.2	1	False	29728	29768	[29727:29768](+)	29769
