Run,gene,coverage,normalized_microdiversity,normalized_microdiversity_rank,coverage_rank
SRR11059940,E,1.9210526315789473,0.0,0,1
SRR11059940,M,21.856502242152466,0.0009294846244866784,6,24
SRR11059940,N,35.115873015873014,0.0016965816288681457,16,28
SRR11059940,ORF10,17.74436090225564,0.0025665912489948824,25,20
SRR11059940,ORF3a,9.58937198067633,0.0006416488213971247,3,7
SRR11059940,ORF6,25.397849462365592,0.0015336404626507215,9,27
SRR11059940,ORF7a,23.983606557377048,0.0012902864139483791,8,26
SRR11059940,ORF7b,18.075757575757574,0.0016569566085946844,14,21
SRR11059940,ORF8,14.907103825136613,0.0015621373752605632,10,17
SRR11059940,S,14.779434850863423,0.0018282174942286585,21,16
SRR11059940,YP_009725297.1,7.394444444444445,0.0008123059933835576,5,6
SRR11059940,YP_009725298.1,13.508881922675027,0.0016581820681785902,15,14
SRR11059940,YP_009725299.1,11.567266495287061,0.0015842085352963321,12,9
SRR11059940,YP_009725300.1,5.138,0.0004808631397956142,2,4
SRR11059940,YP_009725301.1,16.24074074074074,0.0010594174077188053,7,19
SRR11059940,YP_009725302.1,3.889655172413793,0.0025542003700342744,24,2
SRR11059940,YP_009725303.1,13.473895582329318,0.0007457542523618587,4,13
SRR11059940,YP_009725304.1,12.74915824915825,0.0017910113033275251,20,11
SRR11059940,YP_009725305.1,4.188790560471976,0.005780226437650172,27,3
SRR11059940,YP_009725306.1,6.366906474820144,0.00021975014904554758,1,5
SRR11059940,YP_009725307.1,11.230440967283073,0.0016375241350622715,13,8
SRR11059940,YP_009725308.1,19.18247365501941,0.0017739816159736258,18,23
SRR11059940,YP_009725309.1,14.551549652118911,0.001788040432983798,19,15
SRR11059940,YP_009725310.1,22.54238921001927,0.001866861175737816,22,25
SRR11059940,YP_009725311.1,15.816554809843401,0.001702235609102245,17,18
SRR11059940,YP_009725312.1,12.256410256410257,0.002303029186097821,23,10
SRR11059940,3'UTR,13.192139737991265,0.0015635172380111544,11,12
SRR11059940,5'UTR,1.6075471698113208,,28,0
SRR11059940,stem_loop,18.13917525773196,0.003413261385341483,26,22
SRR11059941,E,0.0,,3,0
SRR11059941,M,1.7742899850523168,0.0,0,25
SRR11059941,N,3.438888888888889,0.011404118541818149,2,28
SRR11059941,ORF10,0.7518796992481203,,4,13
