genome,true_length,SNPs,BiAllelic_SNPs,MultiAllelic_SNPs,consensus_SNPs,population_SNPs,breadth,coverage,std_cov,mean_clonality,conANI,popANI,unmaskedBreadth,expected_breadth,Run
MT039887.1,29879,29,27,1,2,1,0.9987616720773788,51053.42819371465,16303.996082846577,0.9941609537315258,0.9999329354168064,0.9999664677084033,0.9980923056327188,1.0,SRR11177792
MT039887.1,29879,30,24,0,7,6,0.9932059305866996,242.48288095317776,104.23192161475158,0.9984764418302778,0.9997639759929868,0.9997976937082744,0.9926035007865056,1.0,SRR11278092
MT039887.1,29879,20,14,0,7,6,0.999564911810971,1431.128786103953,591.0905197666598,0.9985434646879968,0.9997655962227504,0.9997990824766432,0.999464506844272,1.0,SRR11278091
MT039887.1,29879,119,113,0,8,6,0.9798520700157302,56.441313296964424,32.744695687209976,0.9983132483675204,0.9997263273125342,0.9997947454844006,0.9783459955152448,1.0,SRR11278090
MT039887.1,29879,199,190,3,6,6,0.9886207704407778,79.33605542354162,43.347207250694865,0.997721967610001,0.999796754852478,0.999796754852478,0.9880183406405836,1.0,SRR11278168
MT039887.1,29879,29,20,2,7,7,1.0,23279.14260852104,10924.687854270938,0.9978695781619976,0.999765690376569,0.999765690376569,0.999866126711068,1.0,SRR11278167
MT039887.1,29879,30,22,1,7,7,0.999866126711068,19208.95736135748,8205.605020080058,0.9982301664115388,0.9997656825333066,0.9997656825333066,0.9998326583888348,1.0,SRR11278166
MT039887.1,29879,31,24,0,8,7,0.9979249640215536,284.7164898423642,119.92524437586478,0.998363292507735,0.9997307485191168,0.9997644049542272,0.994410790187088,1.0,SRR11278165
MT039887.1,29879,22,16,0,6,6,0.999866126711068,8795.979919006659,3845.556984516949,0.9981923017841006,0.9997991631799164,0.9997991631799164,0.999866126711068,1.0,SRR11278164
MT039887.1,29879,34,24,3,8,7,0.9991632919441747,681.7889487599988,312.2777449268545,0.9967184178339004,0.9997320292088162,0.9997655255577144,0.9991632919441747,1.0,SRR11241254
