scaffold,length,breadth,coverage,median_cov,std_cov,bases_w_0_coverage,mean_clonality,median_clonality,mean_microdiversity,median_microdiversity,rarefied_mean_microdiversity,rarefied_median_microdiversity,unmaskedBreadth,rarefied_breadth,expected_breadth,SNPs,Reference_SNPs,BiAllelic_SNPs,MultiAllelic_SNPs,consensus_SNPs,population_SNPs,conANI,popANI,Run,genome
NC_045512.2,29903,0.999130522021202,969.3438116576932,812,807.972740119857,26,0.9919156516252156,0.9955060482025146,0.008084348374784445,0.004493951797485352,0.007681732358499448,0.0,0.9974584489850516,0.9919740494264788,1.0,64,2,50,12,6,3,0.999798839977202,0.9998994199886008,SRR11542288,MT039887.1
NC_045512.2,29903,0.999063639099756,1372.825769989633,1180,1062.4792728986854,28,0.9918000433839146,0.9954878687858582,0.008199956616085413,0.004512131214141846,0.007679587050197667,0.0,0.9980269538173429,0.9955188442631174,1.0,91,2,78,11,4,3,0.9998659697091544,0.9998994772818656,SRR11542289,MT039887.1
NC_045512.2,29903,0.9892652911079156,2968.623549476641,1286,3938.030319523762,321,0.9980920187228616,1.0,0.0019079812771384266,0.0,0.0014926202094790453,0.0,0.9547537036417748,0.8976691301876066,1.0,59,6,51,2,10,6,0.9996497373029772,0.9997898423817864,SRR11542243,MT039887.1
NC_045512.2,29903,0.7906230144132695,436.0013710998896,202,632.0449242792682,6261,0.9987214746209908,1.0,0.0012785253790090767,0.0,0.0010779090581682915,0.0,0.7506939103100023,0.6544159448884728,1.0,26,2,24,0,4,2,0.9998218104062724,0.9999109052031362,SRR11542244,MT039887.1
NC_045512.2,29903,0.034812560612647564,0.034812560612647564,0,0.18330479054361426,28862,,,,,,,0.0,0.0,0.030271836932683423,0,0,0,0,0,0,0.0,0.0,SRR11524818,MT039887.1
NC_045512.2,29903,0.9977259806708356,3470.6109420459484,3405,2040.9840092229401,68,0.99882515056173,0.9994263052940368,0.0011748494382699535,0.0005736947059631348,0.0010392913799437409,0.0,0.9972578002207136,0.977594221315587,1.0,15,8,7,0,8,8,0.9997317326716072,0.9997317326716072,SRR11514749,MT039887.1
NC_045512.2,29903,0.9973915660636056,3274.1782764271143,3229,1690.5418288929966,78,0.9989333692852518,0.9994261264801024,0.001066630714748218,0.0005738735198974607,0.0010685613507116498,0.0,0.9972578002207136,0.9884961375112864,1.0,12,8,4,0,9,8,0.9996981992555579,0.9997317326716072,SRR11514750,MT039887.1
NC_045512.2,29903,0.9989967561783101,24.368658663010397,23,9.541374071832813,30,0.9943941862424952,1.0,0.005605813757504796,0.0,0.005535937380045652,0.0,0.9948165735879344,0.01712202789017824,0.9999999995480844,177,1,174,2,1,1,0.9999663842947424,0.9999663842947424,SRR11513776,MT039887.1
NC_045512.2,29903,0.04832291074474133,8.41551014948333,0,60.9925846691495,28458,0.9994421820197484,1.0,0.0005578179802514517,0.0,0.0003731874532477697,0.0,0.03778885061699495,0.0244457077885162,0.9994073434272114,2,2,0,0,2,2,0.9982300884955752,0.9982300884955752,SRR11513114,MT039887.1
NC_045512.2,29903,0.9965889710062537,2711.802561615892,2300,1974.0668819775092,102,0.99931692623968,1.0,0.0006830737603200633,0.0,0.0006678845617721362,0.0,0.9893321740293616,0.9885964618934556,1.0,12,6,6,0,6,6,0.9997971876690104,0.9997971876690104,SRR11513115,MT039887.1
