genome,true_length,SNPs,BiAllelic_SNPs,MultiAllelic_SNPs,consensus_SNPs,population_SNPs,breadth,coverage,std_cov,mean_clonality,rarefied_mean_microdiversity,conANI,popANI,unmaskedBreadth,expected_breadth,Run
MT039887.1,29903,9,2,0,7,7,0.9941477443734742,1721.1749991639635,1184.2846844116686,0.999215920045168,0.0008200028511459179,0.9997632495687759,0.9997632495687759,0.9887636691970704,1.0,SRR11410528
MT039887.1,29903,11,4,0,7,7,0.992609437180216,2443.615456643146,1772.0738077783014,0.9990803499529352,0.0008358658632071638,0.9997632495687759,0.9997632495687759,0.9887636691970704,1.0,SRR11410529
MT039887.1,29903,68,59,4,14,5,0.9881617229040563,1696.7105307159811,2058.276159629996,0.9984803381471212,0.0009125416753943404,0.9995163073521284,0.99982725262576,0.9679296391666388,1.0,SRR11410532
MT039887.1,29903,8,4,0,5,4,0.9984282513460188,2047.932648898104,1335.9239115058936,0.9989689852583282,0.0008958864659676101,0.9998310011491922,0.9998648009193536,0.9893990569508077,1.0,SRR11410533
MT039887.1,29903,66,57,2,14,7,0.998929873256864,5457.551550011704,5403.932063599126,0.9984555041792416,0.0012244057953558762,0.9995289050407159,0.999764452520358,0.993813329766244,1.0,SRR11410536
MT039887.1,29903,49,44,1,4,4,0.9891649667257466,2676.390663144166,2717.473209292447,0.9987159923735658,0.0008522224058870043,0.9998639548330046,0.9998639548330046,0.9832458281777748,1.0,SRR11410538
MT039887.1,29903,16,11,1,5,4,0.9961876734775776,3037.3612012172694,2713.630477111167,0.9989575414594692,0.0008595864419460586,0.99983088110942,0.9998647048875359,0.9886967862756244,1.0,SRR11410540
MT039887.1,29903,82,48,1,47,35,0.839882286058255,1607.272347256128,3135.652957426557,0.9980775003634422,0.0009680434729948396,0.99801888383072,0.9985247007250042,0.7933652141925559,1.0,SRR11410541
MT039887.1,29903,72,71,0,10,1,0.9838477744707887,1976.6104738654983,2464.9461673144924,0.9984173027921184,0.0010483977370332462,0.999654529123195,0.9999654529123196,0.9679965220880848,1.0,SRR11410542
MT039887.1,29903,55,35,17,10,3,0.9997659097749392,36890.558405511154,5311.261184327928,0.9937675783658276,0.005753686299060368,0.9996654063639708,0.9998996219091912,0.9994649366284319,1.0,SRR11409417
MT039887.1,29903,36,26,2,14,10,0.9897669130187606,1969.8202187071527,1398.1616921142495,0.9986246032329548,0.0011646114914342087,0.9995227869243616,0.9996591335174012,0.9810721332307796,1.0,SRR11397714
MT039887.1,29903,22,14,3,11,5,0.992743203023108,2540.265826171287,1411.7260192429724,0.9987834082481326,0.0009585945651884307,0.9996274848454062,0.99983067492973,0.9874928936895964,1.0,SRR11397715
