Run,gene,coverage,normalized_microdiversity,normalized_microdiversity_rank,coverage_rank
SRR11059940,3'UTR,13.192139737991265,0.0015635172380111544,14.0,15.0
SRR11059940,5'UTR,1.6075471698113208,,,1.0
SRR11059940,GU280_gp01_stem_loop,16.06024096385542,0.004236206762998274,30.0,22.0
SRR11059940,GU280_gp11_stem_loop,19.43076923076923,0.0043157729166648584,31.0,27.0
SRR11059940,YP_009724389.1,12.438964820816308,0.0015651031894155566,15.0,13.0
SRR11059940,YP_009724390.1,14.779434850863423,0.0018282174942286585,25.0,19.0
SRR11059940,YP_009724391.1,9.58937198067633,0.0006416488213971247,4.0,8.0
SRR11059940,YP_009724392.1,1.9210526315789473,0.0,1.0,2.0
SRR11059940,YP_009724393.1,21.856502242152466,0.0009294846244866784,8.0,29.0
SRR11059940,YP_009724394.1,25.397849462365592,0.0015336404626507215,12.0,32.0
SRR11059940,YP_009724395.1,23.983606557377048,0.0012902864139483791,10.0,31.0
SRR11059940,YP_009724396.1,14.907103825136613,0.0015621373752605632,13.0,20.0
SRR11059940,YP_009724397.2,35.115873015873014,0.0016965816288681457,20.0,33.0
SRR11059940,YP_009725255.1,17.46153846153846,0.0026544234822853917,29.0,24.0
SRR11059940,YP_009725295.1,10.506279316084127,0.00145064718026835,11.0,9.0
SRR11059940,YP_009725297.1,7.394444444444445,0.0008123059933835576,7.0,7.0
SRR11059940,YP_009725298.1,13.508881922675027,0.0016581820681785902,19.0,17.0
SRR11059940,YP_009725299.1,11.567266495287061,0.0015842085352963321,16.0,11.0
SRR11059940,YP_009725300.1,5.138,0.0004808631397956142,3.0,5.0
SRR11059940,YP_009725301.1,16.24074074074074,0.0010594174077188053,9.0,23.0
SRR11059940,YP_009725302.1,3.889655172413793,0.0025542003700342744,28.0,3.0
SRR11059940,YP_009725303.1,13.473895582329318,0.0007457542523618587,6.0,16.0
SRR11059940,YP_009725304.1,12.74915824915825,0.0017910113033275251,24.0,14.0
SRR11059940,YP_009725305.1,4.188790560471976,0.005780226437650172,32.0,4.0
SRR11059940,YP_009725306.1,6.366906474820144,0.00021975014904554758,2.0,6.0
SRR11059940,YP_009725307.1,11.198855507868384,0.0015903860336575896,17.0,10.0
SRR11059940,YP_009725308.1,19.18247365501941,0.0017739816159736258,22.0,26.0
SRR11059940,YP_009725309.1,14.551549652118911,0.001788040432983798,23.0,18.0
SRR11059940,YP_009725310.1,22.54238921001927,0.001866861175737816,26.0,30.0
SRR11059940,YP_009725311.1,15.816554809843401,0.001702235609102245,21.0,21.0
SRR11059940,YP_009725312.1,12.256410256410257,0.002303029186097821,27.0,12.0
SRR11059940,YP_009725318.1,18.075757575757574,0.0016569566085946844,18.0,25.0
SRR11059940,stem_loop,20.5609756097561,0.0007327392157115885,5.0,28.0
SRR11059941,3'UTR,1.4235807860262009,,,28.0
SRR11059941,5'UTR,0.0,,,1.0
SRR11059941,GU280_gp01_stem_loop,1.0,,,22.0
SRR11059941,GU280_gp11_stem_loop,1.0,,,22.0
SRR11059941,YP_009724389.1,0.7044760697008126,0.0,1.0,14.0
SRR11059941,YP_009724390.1,0.8281004709576139,,,19.0
SRR11059941,YP_009724391.1,0.8285024154589372,,,20.0
SRR11059941,YP_009724392.1,0.0,,,1.0
SRR11059941,YP_009724393.1,1.7742899850523168,0.0,1.0,29.0
SRR11059941,YP_009724394.1,2.9086021505376345,,,32.0
SRR11059941,YP_009724395.1,2.057377049180328,,,31.0
SRR11059941,YP_009724396.1,0.412568306010929,,,8.0
SRR11059941,YP_009724397.2,3.438888888888889,0.011404118541818149,5.0,33.0
SRR11059941,YP_009725255.1,0.717948717948718,,,16.0
SRR11059941,YP_009725295.1,0.6778635194431836,0.0,1.0,13.0
SRR11059941,YP_009725297.1,0.8037037037037037,,,18.0
SRR11059941,YP_009725298.1,1.0851619644723094,,,25.0
SRR11059941,YP_009725299.1,0.7079691516709512,0.0,1.0,15.0
SRR11059941,YP_009725300.1,0.22733333333333333,,,5.0
SRR11059941,YP_009725301.1,1.2145969498910676,,,27.0
SRR11059941,YP_009725302.1,0.30114942528735633,,,6.0
SRR11059941,YP_009725303.1,0.7831325301204819,,,17.0
SRR11059941,YP_009725304.1,0.5791245791245792,,,10.0
SRR11059941,YP_009725305.1,0.0,,,1.0
SRR11059941,YP_009725306.1,0.045563549160671464,,,4.0
SRR11059941,YP_009725307.1,0.6384120171673819,,,12.0
SRR11059941,YP_009725308.1,0.9833610648918469,,,21.0
SRR11059941,YP_009725309.1,0.6154332700822265,,,11.0
SRR11059941,YP_009725310.1,1.1801541425818882,,,26.0
SRR11059941,YP_009725311.1,0.3624161073825503,,,7.0
SRR11059941,YP_009725312.1,1.0,,,22.0
SRR11059941,YP_009725318.1,0.49242424242424243,,,9.0
SRR11059941,stem_loop,2.0,,,30.0
SRR11059942,3'UTR,650.3318777292576,0.0035470342035612114,28.0,31.0
SRR11059942,5'UTR,0.0,,,1.0
SRR11059942,GU280_gp01_stem_loop,0.0,,,1.0
SRR11059942,GU280_gp11_stem_loop,569.7076923076924,0.0019747235676096375,10.0,30.0
SRR11059942,YP_009724389.1,294.7636560048847,0.0022085982420650195,17.0,23.0
SRR11059942,YP_009724390.1,192.92150706436422,0.0024299093568050144,21.0,18.0
SRR11059942,YP_009724391.1,187.56763285024155,0.0037175868322219204,29.0,17.0
SRR11059942,YP_009724392.1,146.0219298245614,0.001727061402607877,6.0,14.0
SRR11059942,YP_009724393.1,100.14050822122572,0.0018815769768750004,8.0,12.0
SRR11059942,YP_009724394.1,159.84408602150538,0.002111814491514357,14.0,15.0
SRR11059942,YP_009724395.1,171.99726775956285,0.0024374115810278803,22.0,16.0
SRR11059942,YP_009724396.1,67.44808743169399,0.0028839399409859526,27.0,11.0
SRR11059942,YP_009724397.2,490.6595238095238,0.002352739332881298,20.0,28.0
SRR11059942,YP_009725255.1,468.4102564102564,0.0024509313477278677,23.0,27.0
SRR11059942,YP_009725295.1,253.64964442426992,0.0021535871132336115,16.0,21.0
SRR11059942,YP_009725297.1,29.283333333333335,0.0020872548996814897,13.0,7.0
SRR11059942,YP_009725298.1,508.619644723093,0.0022459524048713507,19.0,29.0
SRR11059942,YP_009725299.1,297.02776349614396,0.002079491111963965,12.0,24.0
SRR11059942,YP_009725300.1,30.108666666666668,0.0018330386532291174,7.0,8.0
SRR11059942,YP_009725301.1,401.92047930283223,0.004651852183853585,30.0,26.0
SRR11059942,YP_009725302.1,20.785057471264366,0.00197582082638185,11.0,6.0
SRR11059942,YP_009725303.1,65.06425702811245,0.0022099106767018793,18.0,10.0
SRR11059942,YP_009725304.1,293.973063973064,0.0015700955807325817,5.0,22.0
SRR11059942,YP_009725305.1,15.705014749262537,0.0014754685728821336,4.0,5.0
SRR11059942,YP_009725306.1,4.601918465227818,0.0010728972665505186,2.0,4.0
SRR11059942,YP_009725307.1,144.16273247496423,0.0021128383020109546,15.0,13.0
SRR11059942,YP_009725308.1,303.9012756516916,0.0019657695187728762,9.0,25.0
SRR11059942,YP_009725309.1,219.32258064516128,0.002521095564154239,24.0,20.0
SRR11059942,YP_009725310.1,1375.4161849710983,0.0026625695916946066,25.0,33.0
SRR11059942,YP_009725311.1,218.38478747203578,0.002689982209626892,26.0,19.0
SRR11059942,YP_009725312.1,0.0,,,1.0
SRR11059942,YP_009725318.1,54.446969696969695,0.0012832776756022402,3.0,9.0
SRR11059942,stem_loop,918.5853658536586,0.0003607533364549627,1.0,32.0
SRR11059943,3'UTR,9.637554585152838,0.0010337210592272338,3.0,25.0
SRR11059943,5'UTR,0.0,,,1.0
SRR11059943,GU280_gp01_stem_loop,0.0,,,1.0
SRR11059943,GU280_gp11_stem_loop,1.0,,,15.0
SRR11059943,YP_009724389.1,19.76205908599878,0.0042801067636471435,13.0,29.0
SRR11059943,YP_009724390.1,8.31737310308739,0.002722835088262845,7.0,24.0
SRR11059943,YP_009724391.1,0.11956521739130435,0.0,1.0,10.0
SRR11059943,YP_009724392.1,0.0,,,1.0
SRR11059943,YP_009724393.1,0.0,,,1.0
SRR11059943,YP_009724394.1,0.0,,,1.0
SRR11059943,YP_009724395.1,0.0,,,1.0
SRR11059943,YP_009724396.1,0.0,,,1.0
SRR11059943,YP_009724397.2,18.375396825396827,0.0038301147031180624,10.0,27.0
SRR11059943,YP_009725255.1,0.7521367521367521,,,13.0
SRR11059943,YP_009725295.1,18.40074141322439,0.004150582381439352,11.0,28.0
SRR11059943,YP_009725297.1,2.074074074074074,0.0011649909644908783,5.0,19.0
SRR11059943,YP_009725298.1,1.815569487983281,0.0028609540517983848,9.0,18.0
SRR11059943,YP_009725299.1,30.508140531276776,0.004563645495461162,15.0,31.0
